NewID,request_no,bill_amount,claim Status,No. of Tour Days,Mode of Transport,Distance in KMs,Tier,date_of_joining,date_of_birth,CostCentre_Code,Travel_Purpose_Description,IC
26120.0,17E02CONS062319,150.0,Approved by SSC,2.0,Auto,12.0,TIER 1,Jul 24 2008 12:00AM,Jul 14 1985 12:00AM,LE131270,Business Trip,CONS
23303.0,17E02EAIC025117,360.0,Approved by SSC,5.0,Auto,35.0,JS & S,Oct 29 2010 12:00AM,Mar 23 1988 12:00AM,150683101,Business Trip,EAIC
23309.0,17E02LTHE006670,250.0,Approved by SSC,2.5,Auto,20.0,TIER I,Jul 13 2012 12:00AM,Feb 13 1991 12:00AM,21042,Business Trip,LTHE
24830.0,17E02HEIC011258,300.0,Approved by SSC,3.5,Public Taxi,25.0,S&E,Aug 14 2015 12:00AM,Aug 10 1992 12:00AM,3485,Conference / Seminar,HEIC
110.0,17E02CONS068235,125.0,Approved by SSC,2.0,Public Taxi,4.0,TIER 3,Nov 23 1989 12:00AM,May  8 1960 12:00AM,LE16D104,Business Trip,CONS
12806.0,17E02LTTS014006,300.0,Approved by SSC,8.0,Auto,20.0,S&E,Oct 13 2014 12:00AM,Sep 15 1985 12:00AM,151AER,Deputation,LTTS
13482.0,17E02HEIC010903,520.0,Approved by SSC,2.0,Public Taxi,22.0,TIER 3,Sep  3 2001 12:00AM,Aug  6 1977 12:00AM,5151,Business Trip,HEIC
12299.0,17E02MIPI012894,70.0,Approved by SSC,2.0,Auto,7.0,JS & S,Dec  4 2006 12:00AM,Jun 20 1985 12:00AM,KO9080,Business Trip,MIPI
13000.0,17E02CONS058901,350.0,Approved by SSC,14.0,Auto,16.0,JS & S,Dec 12 2012 12:00AM,Sep  2 1988 12:00AM,LE160001,Deputation,CONS
4591.0,17E02CONS067978,100.0,Approved by SSC,8.0,Auto,7.0,S&E,Jun 13 2016 12:00AM,Oct  4 1987 12:00AM,LE131278,Business Trip,CONS
22844.0,17E02HEIC011658,1000.0,Approved by SSC,2.5,Others,40.0,TIER 2,Apr 23 2007 12:00AM,Jun 13 1975 12:00AM,3925,Business Trip,HEIC
60.0,17E02MIPI014780,100.0,Approved by SSC,8.5,Auto,10.0,JS & S,Aug  4 2008 12:00AM,Apr  5 1987 12:00AM,DE9080,Business Trip,MIPI
9750.0,17E02HEIC010699,100.0,Approved by SSC,20.0,Auto,8.0,JS & S,Aug 11 2008 12:00AM,May 10 1988 12:00AM,3954,Business Trip,HEIC
19553.0,17E02EAIC026317,2500.0,Approved by SSC,5.5,Public Taxi,80.0,TIER 1,Oct 31 2011 12:00AM,Jun 13 1986 12:00AM,400403057,Business Trip,EAIC
1500.0,17E02CONS063237,60.0,Request on Hold,3.5,Others,22.0,JS & S,Dec 10 2010 12:00AM,Jan 11 1991 12:00AM,LE160624,Transfer,CONS
24320.0,17E02CONS059167,500.0,Approved by SSC,2.5,Radio Taxi,17.0,S&E,Mar 20 2012 12:00AM,Apr 17 1985 12:00AM,LE150444,Training Program / HR,CONS
29008.0,17E02CONS057405,200.0,Approved by SSC,9.5,Auto,5.0,S&E,Mar 14 2011 12:00AM,Oct 14 1988 12:00AM,LE110018,Training Program / HR,CONS
31902.0,17E02EAIC025299,50.0,Approved by SSC,2.5,Auto,2.0,TIER 1,Aug 17 2007 12:00AM,Mar 12 1986 12:00AM,400403056,Business Trip,EAIC
5685.0,17E02EAIC025098,90.0,Approved by SSC,5.0,Auto,7.0,TIER 1,Aug  3 2012 12:00AM,Apr 28 1990 12:00AM,300202321,Business Trip,EAIC
8504.0,17E02CONS056816,100.0,Approved by SSC,2.0,Auto,8.0,TIER 1,Jan  6 1993 12:00AM,Dec  9 1963 12:00AM,LE140923,Business Trip,CONS
4300.0,17E02FCLL004639,45.0,Approved by SSC,1.5,Auto,7.0,S&E,Mar 16 2015 12:00AM,Oct 23 1990 12:00AM,FA280D7H3K,Business Trip,FCLL
8784.0,17E02EAIC022674,400.0,Approved by SSC,3.0,Public Taxi,40.0,TIER 1,Aug 16 2007 12:00AM,Oct  1 1985 12:00AM,150383101,Business Trip,EAIC
36081.0,17E02MIPI012652,80.0,Approved by SSC,16.0,Others,50.0,JS & S,Jul  4 2011 12:00AM,Jul 27 1993 12:00AM,HY9080,Business Trip,MIPI
31825.0,17E02EAIC020954,102.0,Approved by SSC,2.0,Radio Taxi,5.0,TIER 3,Nov  1 1984 12:00AM,Sep 12 1960 12:00AM,200360001,Business Trip,EAIC
22948.0,17E02EAIC024281,970.0,Approved by SSC,3.5,Public Taxi,45.0,TIER 2,Aug  9 2010 12:00AM,Nov  2 1978 12:00AM,400403057,Business Trip,EAIC
31480.0,17E02LTCT000791,100.0,Approved by SSC,2.0,Auto,10.0,TIER I,Oct 20 2008 12:00AM,Mar 25 1984 12:00AM,CTCHD37,Business Trip,LTCT
16165.0,17E02CONS065032,150.0,Approved by SSC,3.5,Auto,7.0,TIER 2,Jun  2 2014 12:00AM,Jun 21 1981 12:00AM,LE130842,Business Trip,CONS
23771.0,17E02HEIC012720,150.0,Approved by SSC,1.5,Auto,10.0,TIER 1,Feb 15 2012 12:00AM,Jun 16 1986 12:00AM,3535,Business Trip,HEIC
26558.0,18E02TURB001024,40.0,Approved by SSC,21.0,Auto,5.0,S&E,Feb 13 2017 12:00AM,Mar  5 1988 12:00AM,63100,Business Trip,TURB
23771.0,17E02HEIC010605,250.0,Approved by SSC,2.5,Auto,25.0,TIER 1,Feb 15 2012 12:00AM,Jun 16 1986 12:00AM,3535,Business Trip,HEIC
2277.0,17E02EAIC024449,120.0,Approved by SSC,3.0,Auto,6.0,TIER 1,Oct  1 2012 12:00AM,Jun 26 1983 12:00AM,150378101,Business Trip,EAIC
4972.0,17E02CONS071485,563.0,Approved by SSC,.5,Others,24.0,TIER 1,Apr 23 2007 12:00AM,Jul  6 1978 12:00AM,LE130186,Transfer,CONS
16299.0,17E02BOIL003100,110.0,Approved by SSC,40.0,Auto,15.0,S&E,Sep 24 2013 12:00AM,May 25 1990 12:00AM,83023,Business Trip,BOIL
11537.0,17E02EAIC023746,140.0,Approved by SSC,1.5,Auto,12.0,S&E,Sep 10 2012 12:00AM,May 19 1987 12:00AM,150356001,Business Trip,EAIC
15367.0,17E02CONS057976,300.0,Approved by SSC,8.0,Radio Taxi,22.0,S&E,Jun 30 2015 12:00AM,Jul 19 1992 12:00AM,LE080168,Training Program / HR,CONS
32609.0,17E02CONS057015,82.0,Approved by SSC,2.5,Radio Taxi,8.0,TIER 1,Jul 20 2010 12:00AM,Jun 11 1977 12:00AM,LE140469,Business Trip,CONS
23901.0,17E02CONS069163,90.0,Approved by SSC,2.5,Auto,15.0,JS & S,Jun 26 2012 12:00AM,Jun 12 1993 12:00AM,LE120524,Business Trip,CONS
13224.0,17E02CONS062353,120.0,Approved by SSC,2.0,Auto,10.0,CONTRACT,Jan 24 2017 12:00AM,Dec 17 1978 12:00AM,LE150807,Training Program / HR,CONS
21532.0,17E02EAIC020960,60.0,Approved by SSC,4.0,Auto,4.0,TIER 1,Sep 15 2006 12:00AM,Jan 28 1981 12:00AM,150312113,Business Trip,EAIC
20698.0,17E02CONS063358,350.0,Approved by SSC,68.5,Public Taxi,165.0,S&E,Apr  2 2012 12:00AM,Apr 30 1989 12:00AM,LE160353,Deputation,CONS
1249.0,17E02EAIC024680,490.0,Approved by SSC,4.0,Public Taxi,22.0,TIER 2,Aug  1 1985 12:00AM,Jun 18 1964 12:00AM,200202623,Business Trip,EAIC
21518.0,17E02POWE005925,100.0,Approved by SSC,2.5,Auto,6.0,TIER 1,May  2 2011 12:00AM,Jul 19 1984 12:00AM,PE002,Business Trip,POWE
11494.0,17E02CONS055759,200.0,Approved by SSC,1.0,Others,130.0,JS & S,Sep  8 2014 12:00AM,Jun  6 1987 12:00AM,LE130759,Deputation,CONS
28350.0,17E02LTHP000473,130.0,Approved by SSC,4.5,Auto,11.0,TIER II,Feb  3 2012 12:00AM,Apr  1 1968 12:00AM,24001,Business Trip,LTHP
22566.0,17E02BOIL002973,80.0,Approved by SSC,25.0,Auto,6.0,TIER I,Sep 22 2014 12:00AM,Jul 17 1988 12:00AM,89500,Business Trip,BOIL
9763.0,17E02CONS072332,400.0,Approved by SSC,5.5,Public Taxi,20.0,TIER 2,Oct  5 1995 12:00AM,Sep 10 1959 12:00AM,CUMS6568,Business Trip,CONS
6692.0,17E02CONS060256,180.0,Approved by SSC,3.0,Auto,15.0,S&E,Nov 19 2012 12:00AM,May  1 1982 12:00AM,LE130332,Training Program / HR,CONS
25041.0,17E02EAIC025688,40.0,Approved by SSC,3.5,Auto,4.0,JS & S,Jul 24 2008 12:00AM,May 30 1988 12:00AM,150368201,Business Trip,EAIC
36343.0,17E02FINA021707,350.0,Approved by SSC,3.5,Public Taxi,15.0,TIER III,Sep 27 2007 12:00AM,Mar 18 1962 12:00AM,BA431A2F4D,Business Trip,FINA
12032.0,17E02CONS069354,400.0,Approved by SSC,1.5,Others,30.0,TIER 2,Apr  4 2013 12:00AM,Jul 29 1975 12:00AM,LE15D071,Business Trip,CONS
17712.0,17E02LTKM000230,22.0,Approved by SSC,1.5,Others,20.0,TIER I,Jul  3 2006 12:00AM,Jun 28 1985 12:00AM,LTKM821,Business Trip,LTKM
1272.0,17E02EAIC026617,200.0,Approved by SSC,2.0,Auto,12.0,TIER 2,Nov  8 1983 12:00AM,Dec 11 1962 12:00AM,100902306,Business Trip,EAIC
26685.0,17E02CONS067136,450.0,Approved by SSC,2.0,Public Taxi,42.0,S&E,Apr  4 2011 12:00AM,Dec  5 1979 12:00AM,LE150284,Transfer,CONS
2190.0,17E02BOIL003398,70.0,Approved by SSC,12.0,Auto,8.0,CONTRACT,Aug 29 2016 12:00AM,Nov 25 1991 12:00AM,88110,Business Trip,BOIL
31225.0,17E02MIPI013836,40.0,Approved by SSC,2.0,Auto,3.0,TIER 2,Oct 21 1981 12:00AM,Jun 16 1960 12:00AM,DE9004,Business Trip,MIPI
6859.0,17E02MIPI015944,100.0,Approved by SSC,2.0,Auto,7.0,TIER 3,Nov  9 1981 12:00AM,Nov 19 1959 12:00AM,DG7010,Business Trip,MIPI
10651.0,17E02HEIC011118,1100.0,Approved by SSC,7.0,Public Taxi,40.0,S&E,Sep 25 2015 12:00AM,Mar 27 1993 12:00AM,5251,Business Trip,HEIC
9141.0,17E02EAIC021364,750.0,Approved by SSC,3.0,Others,180.0,S&E,Apr  1 2009 12:00AM,Aug 10 1978 12:00AM,150371301,Business Trip,EAIC
33587.0,17E02CONS061939,90.0,Approved by SSC,4.5,Auto,5.0,TIER 1,Jan 19 2017 12:00AM,Feb  8 1986 12:00AM,LE130842,Business Trip,CONS
2529.0,17E02CONS058306,197.0,Approved by SSC,3.0,Radio Taxi,13.0,TIER 2,Jun 30 2008 12:00AM,Aug 11 1984 12:00AM,CSEDR014,Business Trip,CONS
28726.0,17E02LTTS015841,600.0,Approved by SSC,1.5,Auto,15.0,TIER 1,Dec  3 2012 12:00AM,Jun 12 1985 12:00AM,251CAE,Business Trip,LTTS
16463.0,17E02LTHE007570,200.0,Approved by SSC,2.5,Auto,11.0,TIER I,Jul 13 2016 12:00AM,Aug 24 1980 12:00AM,27005,Training Program / HR,LTHE
12303.0,17E02LTTS012961,160.0,Approved by SSC,3.5,Auto,10.0,S&E,Feb  2 2015 12:00AM,Jul 12 1990 12:00AM,300ITO,Training Program / HR,LTTS
23774.0,17E02HEIC011048,60.0,Approved by SSC,6.5,Auto,7.0,JS & S,Dec 27 2005 12:00AM,Mar  7 1987 12:00AM,3614,Training Program / HR,HEIC
11452.0,17E02EWAC004950,850.0,Approved by SSC,3.0,Others,156.0,TIER 1,Feb 16 2012 12:00AM,Dec 29 1987 12:00AM,CG7033,Business Trip,EWAC
7107.0,17E02CONS071764,150.0,Approved by SSC,3.5,Auto,8.0,TIER 1,Jul 14 2009 12:00AM,Mar 21 1986 12:00AM,DLTRL011,Business Trip,CONS
24314.0,17E02MIPI015085,112.0,Approved by SSC,1.0,Public Taxi,6.0,TIER 2,Dec  2 2015 12:00AM,May  3 1976 12:00AM,PR9010,Business Trip,MIPI
9752.0,17E02CONS062472,50.0,Approved by SSC,2.0,Auto,3.0,TIER 1,Jul  1 2006 12:00AM,Aug 15 1983 12:00AM,LE130124,Business Trip,CONS
75.0,17E02HEIC013822,150.0,Approved by SSC,3.0,Auto,12.0,TIER 2,Jul 25 2005 12:00AM,Oct 18 1978 12:00AM,3913,Business Trip,HEIC
25339.0,17E02CONS066139,50.0,Approved by SSC,2.0,Auto,8.0,S&E,Jun 17 2013 12:00AM,Apr 29 1985 12:00AM,LE160078,Conference / Seminar,CONS
24358.0,17E02CONS058172,20.0,Approved by SSC,159.0,Others,16.0,TIER 1,Jul 29 2008 12:00AM,Dec  8 1984 12:00AM,LE160552,Deputation,CONS
34110.0,17E02EAIC024784,150.0,Approved by SSC,1.0,Others,120.0,S&E,Mar 14 2016 12:00AM,Nov 16 1988 12:00AM,150371301,Business Trip,EAIC
15657.0,17E02EAIC022719,150.0,Approved by SSC,4.5,Public Taxi,15.0,TIER 1,Mar  8 2010 12:00AM,Apr 28 1979 12:00AM,150440024,Business Trip,EAIC
5636.0,17E02CONS057390,120.0,Approved by SSC,14.0,Auto,8.0,TIER 1,Sep 12 1994 12:00AM,Mar  6 1971 12:00AM,DHDH5507,Deputation,CONS
8790.0,17E02LTHF001319,50.0,Approved by SSC,3.0,Auto,3.0,TIER II,Mar 21 2016 12:00AM,Mar 21 1987 12:00AM,EA431I2H9C,Business Trip,LTHF
25533.0,17E02MIPI015542,20.0,Approved by SSC,17.5,Auto,6.0,JS & S,Jan 23 2017 12:00AM,Oct 12 1979 12:00AM,CA9080,Business Trip,MIPI
12196.0,17E02HEIC011276,335.0,Approved by SSC,1.5,Auto,19.0,TIER 1,Aug  4 2005 12:00AM,Aug 22 1978 12:00AM,3967,Business Trip,HEIC
13463.0,18E02HEIC010100,750.0,Approved by SSC,5.5,Public Taxi,45.0,JS & S,Sep  8 2004 12:00AM,Dec 31 1985 12:00AM,3533,Business Trip,HEIC
28565.0,17E02EAIC023590,10.0,Approved by SSC,1.0,Others,30.0,S&E,May 10 2016 12:00AM,Aug  5 1988 12:00AM,150440010,Conference / Seminar,EAIC
27520.0,17E02CONS058685,190.0,Approved by SSC,4.0,Auto,10.0,TIER 1,Nov 21 2012 12:00AM,Nov 10 1976 12:00AM,LE110468,Training Program / HR,CONS
17683.0,18E02MIPI006233,290.0,Approved by SSC,18.0,Others,74.0,JS & S,Mar 29 2008 12:00AM,Oct  8 1979 12:00AM,DG7010,Business Trip,MIPI
27443.0,17E02MIPI013452,70.0,Approved by SSC,6.5,Auto,7.0,JS & S,Nov 16 2007 12:00AM,Oct 15 1985 12:00AM,DE7010,Training Program / HR,MIPI
18966.0,17E02POWE004902,130.0,Approved by SSC,15.5,Auto,8.0,S&E,Jul 24 2012 12:00AM,Dec 22 1989 12:00AM,PE052,Business Trip,POWE
35485.0,17E02EAIC022508,100.0,Approved by SSC,5.5,Public Taxi,6.0,JS & S,Jul  1 2011 12:00AM,Sep 25 1990 12:00AM,450457001,Business Trip,EAIC
30731.0,17E02LTHE007290,50.0,Approved by SSC,12.0,Auto,5.0,TIER II,Nov 14 2005 12:00AM,Dec  3 1979 12:00AM,40150,Deputation,LTHE
20121.0,17E02TURB001321,1000.0,Approved by SSC,11.0,Public Taxi,350.0,S&E,Jul 21 2011 12:00AM,May 10 1990 12:00AM,63100,Business Trip,TURB
31826.0,17E02HEIC011556,179.0,Approved by SSC,1.5,Radio Taxi,14.0,TIER 2,Jul 26 2004 12:00AM,Jan 12 1979 12:00AM,3533,Business Trip,HEIC
18263.0,17E02LTVL002436,250.0,Approved by SSC,4.0,Auto,25.0,S&E,Feb 15 2016 12:00AM,Mar 27 1989 12:00AM,199211,Business Trip,LTVL
30299.0,17E02HEIC013503,829.0,Approved by SSC,3.5,Public Taxi,50.0,TIER 1,Aug 31 2007 12:00AM,Mar 20 1981 12:00AM,5152,Deputation,HEIC
5726.0,17E02MIPI013716,80.0,Approved by SSC,2.5,Auto,8.0,TIER 1,Sep  8 2008 12:00AM,Mar 13 1979 12:00AM,BH9080,Business Trip,MIPI
21793.0,17E02EAIC023809,550.0,Approved by SSC,4.0,Auto,35.0,S&E,Oct 10 2008 12:00AM,Nov 10 1989 12:00AM,150440032,Business Trip,EAIC
2812.0,17E02HEIC013456,250.0,Approved by SSC,2.5,Public Taxi,12.0,TIER 2,Jan 18 2005 12:00AM,Nov 14 1976 12:00AM,3532,Business Trip,HEIC
23213.0,17E02EAIC021401,195.0,Approved by SSC,1.0,Auto,15.0,TIER 1,Jul 18 2008 12:00AM,Sep 13 1986 12:00AM,450356001,Business Trip,EAIC
5078.0,17E02FCLL002213,40.0,Approved by SSC,3.5,Auto,4.0,S&E,Dec 26 2016 12:00AM,Mar 31 1990 12:00AM,FA431D7E98,Training Program / HR,FCLL
2490.0,17E02CONS063259,150.0,Approved by SSC,5.5,Auto,20.0,TIER 1,Nov 26 2007 12:00AM,Oct  3 1983 12:00AM,DHDT5576,Business Trip,CONS
29575.0,17E02TURB001435,90.0,Approved by SSC,.5,Auto,12.0,TIER I,Jan 17 2011 12:00AM,Jun  6 1978 12:00AM,63100,Business Trip,TURB
517.0,17E02EAIC023763,250.0,Approved by SSC,3.0,Public Taxi,11.0,TIER 3,Aug  2 1982 12:00AM,Jan 21 1961 12:00AM,150311004,Business Trip,EAIC
28724.0,17E02LTTS014868,41.0,Approved by SSC,58.0,Auto,2.0,TIER 1,Feb 28 2006 12:00AM,Mar  1 1978 12:00AM,351BAM,Deputation,LTTS
15152.0,17E02CONS068066,230.0,Approved by SSC,.5,Auto,21.0,S&E,Apr  1 2013 12:00AM,Dec 22 1983 12:00AM,LE150005,Business Trip,CONS
31050.0,17E02LTHE007110,500.0,Approved by SSC,13.0,Public Taxi,20.0,TIER I,May 10 2011 12:00AM,Nov  4 1982 12:00AM,21042,Deputation,LTHE
30803.0,17E02NPLL000272,350.0,Approved by SSC,7.5,Auto,25.0,TIER I,Apr 29 2014 12:00AM,Jul 13 1984 12:00AM,NSDPRIM,Training Program / HR,NPLL
2726.0,17E02CONS070454,140.0,Approved by SSC,2.0,Auto,15.0,JS & S,Jul 25 2013 12:00AM,Oct 31 1991 12:00AM,LE160884,Training Program / HR,CONS
14836.0,17E02EAIC021187,355.0,Approved by SSC,4.0,Radio Taxi,18.0,TIER 1,Dec  2 2011 12:00AM,May 31 1990 12:00AM,300202304,Business Trip,EAIC
4287.0,17E02HEIC013035,200.0,Approved by SSC,1.0,Auto,8.0,TIER 1,Nov 22 2012 12:00AM,Jan 31 1972 12:00AM,3913,Business Trip,HEIC
8252.0,17E02EAIC023359,15.0,Approved by SSC,2.0,Others,40.0,TIER 1,Dec 29 2011 12:00AM,May 19 1987 12:00AM,150239008,Business Trip,EAIC
681.0,17E02EAIC022722,170.0,Approved by SSC,3.5,Auto,15.0,TIER 1,Feb 14 2015 12:00AM,Mar 31 1990 12:00AM,300202311,Business Trip,EAIC
34885.0,17E02EWAC005780,50.0,Approved by SSC,.5,Public Taxi,30.0,S&E,Sep 16 2014 12:00AM,Sep 22 1989 12:00AM,LU7033,Business Trip,EWAC
23676.0,17E02FINA020009,350.0,Approved by SSC,4.0,Auto,28.0,TIER II,Apr 11 2011 12:00AM,Jun 15 1982 12:00AM,BA130A2B4H,Deputation,FINA
17515.0,17E02EAIC020995,70.0,Approved by SSC,.5,Auto,10.0,JS & S,Oct  5 2015 12:00AM,Oct 30 1989 12:00AM,150638001,Business Trip,EAIC
36169.0,17E02EAIC023520,385.0,Approved by SSC,8.0,Others,38.0,TIER 1,Nov 12 1994 12:00AM,Jun  1 1968 12:00AM,300202603,Business Trip,EAIC
15938.0,17E02HEIC011332,182.0,Approved by SSC,1.0,Radio Taxi,13.0,TIER 3,Sep 26 2013 12:00AM,Mar 20 1972 12:00AM,9097,Business Trip,HEIC
397.0,17E02EAIC026445,250.0,Approved by SSC,5.0,Auto,25.0,JS & S,Sep 30 2011 12:00AM,Jan  1 1993 12:00AM,150646201,Business Trip,EAIC
28952.0,17E02EAIC022969,100.0,Approved by SSC,6.0,Auto,10.0,S&E,Jul 10 2015 12:00AM,May 27 1994 12:00AM,300202304,Business Trip,EAIC
6189.0,17E02CONS057621,170.0,Approved by SSC,4.5,Radio Taxi,9.0,TIER 1,Feb 10 2014 12:00AM,Feb 15 1984 12:00AM,LE14D056,Business Trip,CONS
21964.0,17E02LTCT000943,250.0,Approved by SSC,4.5,Auto,12.0,TIER I,Aug  1 2005 12:00AM,Aug 10 1979 12:00AM,CTCHN37,Business Trip,LTCT
11744.0,17E02CONS072292,350.0,Approved by SSC,3.0,Public Taxi,65.0,TIER 2,Jul 31 2010 12:00AM,Aug 30 1971 12:00AM,LE140765,Business Trip,CONS
25544.0,17E02EAIC025528,200.0,Approved by SSC,2.0,Auto,20.0,TIER 1,Sep 12 2012 12:00AM,Mar 10 1985 12:00AM,150440026,Business Trip,EAIC
6676.0,17E02CONS058968,80.0,Approved by SSC,2.5,Auto,9.0,JS & S,Jul 27 2015 12:00AM,Mar 13 1995 12:00AM,LE160585,Business Trip,CONS
552.0,17E02EAIC025393,50.0,Approved by SSC,2.0,Auto,3.0,JS & S,Oct 29 2010 12:00AM,Dec 23 1987 12:00AM,150616001,Business Trip,EAIC
13591.0,17E02EAIC021737,200.0,Approved by SSC,3.0,Auto,11.0,TIER 1,Jul  6 2006 12:00AM,Jul 29 1983 12:00AM,200660001,Business Trip,EAIC
26142.0,17E02EAIC026776,150.0,Approved by SSC,5.5,Auto,6.0,JS & S,May 15 2006 12:00AM,Aug 24 1972 12:00AM,150370013,Business Trip,EAIC
11225.0,17E02EWAC004973,250.0,Approved by SSC,3.5,Public Taxi,10.0,TIER 2,Dec 15 1994 12:00AM,Jan 24 1972 12:00AM,PW7033,Business Trip,EWAC
22542.0,17E02CONS062060,186.0,Approved by SSC,8.0,Radio Taxi,10.0,TIER 1,Oct 17 2006 12:00AM,Nov 11 1984 12:00AM,LE160350,Business Trip,CONS
32439.0,17E02EAIC024545,150.0,Approved by SSC,3.0,Auto,18.0,S&E,Oct  5 2015 12:00AM,Aug 20 1985 12:00AM,150330201,Business Trip,EAIC
1121.0,17E02CONS068611,135.0,Approved by SSC,4.0,Public Taxi,7.0,S&E,Sep  9 2010 12:00AM,Nov 20 1980 12:00AM,LE160042,Business Trip,CONS
9907.0,17E02HEIC013884,20.0,Approved by SSC,4.0,Auto,2.0,TIER 1,Aug 31 2007 12:00AM,Jun  5 1985 12:00AM,3926,Business Trip,HEIC
6244.0,17E02CONS055625,120.0,Approved by SSC,4.5,Public Taxi,18.0,TIER 3,Oct  1 1999 12:00AM,Mar  5 1976 12:00AM,LE150315,Business Trip,CONS
30754.0,17E02CONS055545,600.0,Approved by SSC,5.5,Others,64.0,TIER 2,Oct  4 1995 12:00AM,Jul  2 1967 12:00AM,LE130327,Deputation,CONS
13804.0,17E02MIPI013110,80.0,Approved by SSC,3.0,Public Taxi,55.0,TIER 1,Jul  2 2008 12:00AM,Nov 28 1975 12:00AM,NG9080,Business Trip,MIPI
22474.0,17E02FCLL001699,214.0,Approved by SSC,2.0,Radio Taxi,13.0,TIER II,Oct 15 2007 12:00AM,Jun 27 1977 12:00AM,FA196B1H3A,Business Trip,FCLL
4225.0,17E02EAIC026879,150.0,Approved by SSC,2.0,Auto,15.0,S&E,Jun 13 2016 12:00AM,Jul 11 1983 12:00AM,150340012,Business Trip,EAIC
9533.0,17E02EAIC022210,150.0,Approved by SSC,2.5,Auto,11.0,TIER 2,Aug 31 1987 12:00AM,Jul 24 1965 12:00AM,150440024,Business Trip,EAIC
29652.0,17E02EAIC026048,90.0,Approved by SSC,8.5,Auto,6.0,TIER 1,Jan 27 2015 12:00AM,Aug 25 1977 12:00AM,200340001,Deputation,EAIC
434.0,17E02EAIC021799,40.0,Approved by SSC,3.0,Auto,3.0,TIER 3,Jan  1 1988 12:00AM,Apr 12 1960 12:00AM,150311004,Business Trip,EAIC
12344.0,17E02CONS062956,219.0,Approved by SSC,5.5,Radio Taxi,13.0,TIER 1,Jan 12 2009 12:00AM,Jul 27 1984 12:00AM,LE120319,Business Trip,CONS
33837.0,17E02LTHE006369,100.0,Approved by SSC,2.0,Auto,10.0,S&E,Oct 11 2010 12:00AM,Dec 18 1971 12:00AM,21032,Business Trip,LTHE
28878.0,17E02EAIC027656,300.0,Approved by SSC,2.0,Public Taxi,65.0,S&E,May 11 2007 12:00AM,Dec 25 1979 12:00AM,150371301,Business Trip,EAIC
7322.0,17E02MIPI013574,50.0,"Approved by SSC, Settlement through F & F",2.0,Auto,5.0,JS & S,Aug 12 2014 12:00AM,Jul  1 1990 12:00AM,NG7010,Business Trip,MIPI
28455.0,17E02EAIC020788,70.0,Approved by SSC,3.5,Auto,7.0,S&E,Dec  2 2011 12:00AM,Jan  7 1989 12:00AM,150338012,Business Trip,EAIC
24279.0,17E02EAIC021107,50.0,Approved by SSC,.5,Auto,5.0,S&E,Nov  7 2016 12:00AM,Oct 10 1991 12:00AM,150239002,Business Trip,EAIC
14067.0,17E02CONS059760,650.0,Approved by SSC,7.0,Public Taxi,26.0,TIER 1,Dec 26 2014 12:00AM,Feb 10 1983 12:00AM,LE14D068,Training Program / HR,CONS
